"LANGUAGE","日本語"
"LBR_NAME","Lifecycle Rebalance Revisited"
"LBR_DESC","住民の寿命延長とランダム化・移民の年齢と教育レベルをランダム化して、通勤・通学方法の変更します"
"LBR_SPN","ライフスパン"
"LBR_SPN_WRN","警告！"
"LBR_SPN_BAL","ゲーム中に設定変更すると、一時的に都市のバランスが大きく崩れる可能性が高いです"
"LBR_SPN_BAK","設定変更する前に、バックアップを保存することを強く推奨！！"
"LBR_CAL","ライフサイクルの計算モデル"
"LBR_CAL_SUN","MODはSunset Harborのライフスパンを使用 (デフォルト)"
"LBR_CAL_LEG","レガシー(元のWG MOD) のライフスパン - 短命で高齢者が少なめ"
"LBR_CAL_VAN","バニラのライフスパン - 寿命変動が少なく高齢者が多め"
"LBR_SHO","（Sunset Harborのライフスパンを使用時）"
"LBR_RET","定年退職のオプション"
"LBR_RET_USE","カスタムした定年退職を設定"
"LBR_RET_CUS","定年退職の設定"
"LBR_RET_NT1","定年退職の年齢を下げても、以前の設定で退職済みの住民ステータスは変わりません"
"LBR_RET_NT2","定年退職の年齢を上げても、以前の設定で退職済みの住民が復職することはありません"
"LBR_CHI","子供達の年齢オプション"
"LBR_CHI_CUS","カスタムした子供の年齢を使用"
"LBR_CHI_SCH","子供が小学校に通う年齢"
"LBR_CHI_TEE","子供が高校に通う年齢"
"LBR_CHI_YOU","子供が大学に通う年齢"
"LBR_HEA","健康度"
"LBR_HEA_ILL","10年単位で起こる、ランダムな病気の発生確率"
"LBR_HEA_ILD","特定の疾病による病気には影響しません(例えば、汚染や騒音など)"
"LBR_HEA_AGE","年齢"
"LBR_DTH","死亡者"
"LBR_DTH_TRN","霊柩車を必要とする遺体の割合(％)"
"LBR_DTH_TRD","(ゲームのデフォルトは67%、MODのデフォルトは50%)"
"LBR_IMM","移民"
"LBR_IMM_VAR","移民の教育レベルに、25%の変動幅を適用します"
"LBR_IMM_INC","移民の平均教育レベルを上昇"
"LBR_IMM_DEC","移民の平均教育レベルを下降"
"LBR_SET","設定"
"LBR_SET_LGD","死亡者をログに記録 'Lifecycle Death log.txt'"
"LBR_SET_LGI","移民をログに記録 'Lifecycle immigration log.txt'"
"LBR_SET_LGT","カスタムした公共交通ログを記録 'Lifecycle transportlog.txt' - 警告:処理が遅い！"
"LBR_SET_LGS","病気イベントのログを記録 'Lifecycle sickness log.txt'"
"LBR_SPD","速度"
"LBR_SPD_FAC","ベースゲームと比較して、市民の老化スピードを遅くする要素"
"LBR_SPD_FN1","1は基本的なゲームの老化速度(35週経過で10歳相当) で、2は2倍遅い老化（70週経過で10歳相当）になり、3は3倍遅い老化となります。 倍率が15になると、ゲーム内の1年ごとに年齢が約１歳上がります。"
"LBR_SPD_FN2","ライフサイクルや年齢には影響しません - ゲーム速度よりも市民の老化速度が早くなります"
"LBR_SPD_FN3","(ゲームのデフォルトは1・MODのデフォルトは3)"
"LBR_TRN","交通機関"
"LBR_TRN_CUS","カスタムした公共交通の選択率を使用"
"LBR_TRN_WEA","所得レベル"
"LBR_TRN_CAR","自家用車の使用確率(%)"
"LBR_TRN_BIK","自転車の使用確率(%)"
"LBR_TRN_TAX","タクシーの使用確率(%)"
"LBR_TRN_RLO","低密度住宅"
"LBR_TRN_RHI","高密度住宅"
"LBR_TRN_RW2","連接住宅"
"LBR_TRN_ERL","低密度エコ住宅"
"LBR_TRN_ERH","高密度エコ住宅"
"LBR_TRN_CHL","子供"
"LBR_TRN_TEN","ティーン"
"LBR_TRN_YAD","若い大人"
"LBR_TRN_ADL","大人"
"LBR_TRN_SEN","高齢者"
"LBR_DEF","デフォルト"
"LBR_RTD","デフォルトに戻す"
"LBR_RTS","保存済みに戻す"
"LBR_SAA","保存して適用"
"LBR_ZRO","全てゼロに設定"
"LBR_150_TIT","Lifecycle Rebalance Revisitedをバージョン1.5に更新しました"
"LBR_150_NT1","交通の移動方法をオプションパネルで編集が可能になって、エコ住宅と一般住宅で異なるモードが選択可能です"
"LBR_150_NT2","移住者してくる住民の教育レベルが変更可能になりました"
"LBR_151_NT1","翻訳のオプションパネルのレイアウトを調整"
"LBR_152_NT1","未成年の子供を持つ片親が早死を回避して、孤児のみの世帯発生を防止します"
"LBR_152_NT2","改善されたMODの競合チェックと通知機能"
"LBR_152_NT3","更新通知の改善"
"LBR_154_NT1","片親死亡時の扱いを変更： 両親が死亡した場合は孤児を排除します(親の死を惜しみません)"
"LBR_154_NT2","無効なデータを持つ建物内の住人をチェックして、削除するコードを追加"
"LBR_160_NT1","主な新機能： 幼少期から成人までのリアルな初期年齢と成長時間（オプション・カスタマイズ可能）"
"LBR_160_NT2","新しい幼少期の成長はリアルな価値観やステージに合わせて、更に就学前の段階（幼児期）も含みます"
"LBR_160_NT3","MODのオプションパネルで、有効/無効の設定やカスタマイズが可能です"
"LBR_160_NT4","注意: このオプションは初期設定で有効になっています"
